balls,period,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15
b=6,p=9,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,432 bytes,13 KB,116.7 KB,509 KB,1.4 MB,2.9 MB,4.9 MB,7.2 MB,9.6 MB
b=6,p=10,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,760 bytes,34.1 KB,363.6 KB,1.9 MB,6.1 MB,14 MB,25.4 MB,39.4 MB,54.7 MB
b=6,p=11,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,1.4 KB,91.1 KB,1.2 MB,7.1 MB,26 MB,65.9 MB,129.6 MB,213.6 MB,310.1 MB
b=6,p=12,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,2.6 KB,243 KB,4.2 MB,28.6 MB,108.3 MB,306.2 MB,653.6 MB,1.1 GB,1.7 GB
b=6,p=13,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,4.8 KB,654.1 KB,14.5 MB,115.7 MB,493.6 MB,1.4 GB,3.3 GB,6.1 GB,9.7 GB
b=6,p=14,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,8.8 KB,1.8 MB,49.7 MB,468.2 MB,2.2 GB,7 GB,16 GB,32 GB,53.8 GB
b=6,p=15,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,16.4 KB,4.8 MB,171.2 MB,1.9 GB,10.2 GB,34.5 GB,84.7 GB,166.1 GB,295.1 GB
b=6,p=16,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,30.6 KB,13 MB,591.6 MB,7.7 GB,46.7 GB,171.6 GB,448.5 GB,923.5 GB,1.6 TB
b=6,p=17,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,57.6 KB,35.7 MB,2.1 GB,31.4 GB,213.5 GB,853.2 GB,2.4 TB,5.1 TB,9.3 TB
b=6,p=18,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,108.1 KB,98.1 MB,7.2 GB,128.4 GB,977.2 GB,4.2 TB,12.6 TB,28.6 TB,53.5 TB
b=6,p=19,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,204.5 KB,270.2 MB,25 GB,526.5 GB,4.5 TB,21.2 TB,66.8 TB,159.1 TB,308.9 TB
b=6,p=20,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,386.6 KB,746.4 MB,87.7 GB,2.2 TB,20.6 TB,105.7 TB,355.1 TB,886.4 TB,1786 TB
b=7,p=1,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes
b=7,p=2,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,8 bytes,16 bytes,24 bytes,32 bytes,40 bytes,48 bytes,56 bytes,56 bytes
b=7,p=3,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,16 bytes,48 bytes,96 bytes,152 bytes,208 bytes,256 bytes,296 bytes,336 bytes
b=7,p=4,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,24 bytes,120 bytes,320 bytes,600 bytes,952 bytes,1.3 KB,1.7 KB,2 KB
b=7,p=5,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,48 bytes,328 bytes,1.1 KB,2.6 KB,4.6 KB,6.9 KB,9.2 KB,11.8 KB
b=7,p=6,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,72 bytes,824 bytes,3.7 KB,10 KB,20.9 KB,35.5 KB,52.3 KB,69.6 KB
b=7,p=7,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,144 bytes,2.2 KB,12.8 KB,42.1 KB,96.9 KB,176.7 KB,286.5 KB,410.6 KB
b=7,p=8,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,240 bytes,5.7 KB,43.6 KB,173.8 KB,461.6 KB,936 KB,1.6 MB,2.3 MB
b=7,p=9,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,440 bytes,15 KB,147.3 KB,710.6 KB,2.2 MB,4.9 MB,9 MB,14.1 MB
b=7,p=10,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,776 bytes,38.1 KB,489.4 KB,2.9 MB,10.1 MB,25.4 MB,50.4 MB,84.5 MB
b=7,p=11,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,1.5 KB,102.9 KB,1.6 MB,11.3 MB,46.2 MB,129.6 MB,280.1 MB,501.8 MB
b=7,p=12,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,2.6 KB,278.1 KB,5.6 MB,44.2 MB,208.5 MB,653.6 MB,1.5 GB,2.9 GB
b=7,p=13,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,4.9 KB,757.7 KB,19.7 MB,186.1 MB,926.5 MB,3.3 GB,8.4 GB,17.2 GB
b=7,p=14,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,9 KB,2.1 MB,69.5 MB,784.4 MB,4.5 GB,16 GB,44.9 GB,98.9 GB
b=7,p=15,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,16.9 KB,5.7 MB,245.9 MB,3.3 GB,21.4 GB,84.7 GB,238.7 GB,564.5 GB
b=7,p=16,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,31.6 KB,15.7 MB,871.8 MB,14 GB,102.9 GB,448.5 GB,1.4 TB,3.2 TB
b=7,p=17,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,59.6 KB,43.4 MB,3.1 GB,59.3 GB,495.1 GB,2.4 TB,7.8 TB,19.3 TB
b=7,p=18,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,112.2 KB,120.5 MB,11.1 GB,251.8 GB,2.4 TB,12.6 TB,44.3 TB,116.3 TB
b=7,p=19,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,212.6 KB,335.6 MB,39.6 GB,1.1 TB,11.5 TB,66.8 TB,252.6 TB,702.3 TB
b=7,p=20,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,402.7 KB,937.9 MB,142.2 GB,4.6 TB,55.7 TB,355.1 TB,1442.6 TB,4242.6 TB
b=8,p=1,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes
b=8,p=2,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,8 bytes,16 bytes,24 bytes,32 bytes,40 bytes,48 bytes,56 bytes
b=8,p=3,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,16 bytes,48 bytes,96 bytes,160 bytes,224 bytes,280 bytes,336 bytes
b=8,p=4,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,24 bytes,120 bytes,328 bytes,656 bytes,1.1 KB,1.5 KB,2 KB
b=8,p=5,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,48 bytes,336 bytes,1.2 KB,2.8 KB,5.2 KB,8.2 KB,11.8 KB
